id,grade_level,sex,race,gpa,econ_dis,disability,dis_cat,lang,iss_off,iss_days,subj_off,days_absent
27,2nd Grade,Female,White,2.67,No,No,Not Applicable,Chinese,0,0,0,30
28,1st Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,2
29,9th Grade,Female,White,3.67,Yes,No,Not Applicable,Other,0,0,0,10
30,5th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,1,3
31,5th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,6
32,12th Grade,Female,Asian,3.67,Yes,No,Not Applicable,English,0,0,0,2
33,12th Grade,Male,White,2,No,Yes,Speech/Language Impairments,English,0,0,0,10
34,9th Grade,Male,Multi-racial,3,Yes,No,Not Applicable,English,0,0,0,5
35,7th Grade,Female,White,2.67,Yes,No,Not Applicable,English,,,,2
36,1st Grade,Male,White,4,Yes,No,Not Applicable,English,0,0,0,2
37,12th Grade,Male,Hispanic,3.33,No,No,Not Applicable,English,0,0,0,8
38,Pre-K,Male,White,3.67,No,No,Not Applicable,English,0,0,0,5
39,3rd Grade,Male,White,3,No,No,Not Applicable,Spanish,0,0,0,3
40,Pre-K,Female,Black,3,No,No,Not Applicable,English,0,0,0,1
41,6th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,4
42,1st Grade,Male,Hispanic,3,No,No,Not Applicable,English,0,0,0,4
43,10th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,10
44,7th Grade,Male,White,2,Yes,No,Not Applicable,English,0,0,0,5
45,1st Grade,Male,,3,No,No,Not Applicable,English,0,0,0,7
46,10th Grade,Male,Black,3.33,No,No,Not Applicable,English,0,0,2,3
47,5th Grade,Other,Black,4,Yes,Yes,Speech/Language Impairments,Other,0,0,0,7
48,6th Grade,Male,Hispanic,3,Yes,No,Not Applicable,English,0,0,0,29
49,12th Grade,Male,White,2.33,Yes,No,Not Applicable,Other,,,,5
50,2nd Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,6
51,8th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,3
52,8th Grade,Female,Black,2,No,No,Not Applicable,English,0,0,0,1
53,4th Grade,Male,White,2,Yes,No,Not Applicable,English,0,0,0,11
54,1st Grade,Female,White,3,No,No,Not Applicable,Other,0,0,0,9
55,3rd Grade,Female,White,1.67,No,Yes,Speech/Language Impairments,English,0,0,0,5
56,1st Grade,Male,Hispanic,3.33,No,No,Not Applicable,Spanish,0,0,0,21
57,7th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,3
58,6th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,5
59,Kindergarten,Male,White,3.33,Yes,No,Not Applicable,Spanish,0,0,0,6
60,Pre-K,Female,White,2.67,No,Yes,Specific Learning Disability,Chinese,0,0,0,4
61,Pre-K,Female,White,3.33,No,Yes,Specific Learning Disability,English,,,,4
62,8th Grade,,Black,3.33,No,No,Not Applicable,Other,0,0,0,6
63,1st Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,2,6
64,1st Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,5
65,9th Grade,Male,Hispanic,3.67,Yes,Yes,Other,English,0,0,0,22
66,Kindergarten,Female,Black,2.33,Yes,No,Not Applicable,English,0,0,0,3
67,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,22
68,2nd Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,10
69,5th Grade,Female,Hispanic,3,No,No,Not Applicable,Spanish,0,0,0,31
70,2nd Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,8
71,Pre-K,Male,White,3,No,No,Not Applicable,English,0,0,0,5
72,5th Grade,Male,Black,2,Yes,No,Not Applicable,English,0,0,0,7
73,2nd Grade,Female,White,2.33,No,Yes,Autism,English,0,0,0,1
74,8th Grade,Female,Native,2.33,Yes,No,Not Applicable,English,0,0,0,7
75,9th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,3
76,9th Grade,,White,3.33,No,No,Not Applicable,English,0,0,0,6
77,3rd Grade,Female,White,3.33,Yes,No,Not Applicable,Other,0,0,0,5
78,Kindergarten,Other,White,3,No,No,Not Applicable,English,0,0,0,7
79,3rd Grade,Female,White,2.67,Yes,No,Not Applicable,Spanish,0,0,0,8
80,10th Grade,Female,White,2,Yes,Yes,Specific Learning Disability,English,0,0,2,4
81,5th Grade,Female,Hispanic,2,Yes,No,Not Applicable,English,0,0,0,2
82,6th Grade,Female,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,7
83,9th Grade,Other,White,2.33,No,No,Not Applicable,English,0,0,0,4
84,Kindergarten,Male,Black,3.33,No,Yes,Specific Learning Disability,English,,,,7
85,4th Grade,Male,Asian,3.33,No,Yes,Specific Learning Disability,English,0,0,0,1
86,10th Grade,Male,White,2.67,No,No,Not Applicable,English,3,3,2,4
87,10th Grade,,White,3.33,Yes,No,Not Applicable,English,0,0,0,3
88,11th Grade,Female,White,2,Yes,No,Not Applicable,Spanish,0,0,0,2
89,9th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,1,11
90,Pre-K,Male,White,3,No,No,Not Applicable,English,0,0,0,18
91,11th Grade,Female,White,2.67,No,No,Not Applicable,English,,,,4
92,6th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,8
93,1st Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,8
94,4th Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,2
95,12th Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,Spanish,0,0,0,3
96,Kindergarten,Female,Hispanic,3,No,No,Not Applicable,English,,,,7
97,5th Grade,Female,Asian,3.67,Yes,No,Not Applicable,English,0,0,1,9
98,Kindergarten,Male,White,3,Yes,No,Not Applicable,English,8,5,1,2
99,8th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,5
100,10th Grade,Male,White,2.33,Yes,Yes,Specific Learning Disability,English,0,0,0,2
101,7th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,20
102,5th Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,3
103,5th Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,36
104,Kindergarten,Female,Asian,3,Yes,No,Not Applicable,English,0,0,0,2
105,9th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,5
106,12th Grade,Male,White,2,No,No,Not Applicable,English,0,0,0,11
107,12th Grade,Male,Hispanic,3.67,No,Yes,Speech/Language Impairments,Spanish,0,0,0,7
108,12th Grade,Male,Multi-racial,2.33,Yes,No,Not Applicable,Spanish,0,0,0,4
109,11th Grade,Male,White,2.33,Yes,No,Not Applicable,Spanish,0,0,0,12
110,11th Grade,Male,Black,2.33,Yes,No,Not Applicable,English,0,0,0,32
111,8th Grade,Female,White,1.67,No,No,Not Applicable,English,0,0,0,5
112,1st Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,17
113,11th Grade,Female,White,3.33,No,Yes,Intellectual Disability,English,0,0,0,2
114,7th Grade,Male,Hispanic,3.33,Yes,No,Not Applicable,English,0,0,0,4
115,11th Grade,Female,White,4,No,Yes,Autism,English,0,0,0,7
116,1st Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,6
117,12th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,1
118,4th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,8
119,8th Grade,Male,White,2.33,Yes,Yes,Developmental Delay,English,0,0,1,10
120,2nd Grade,Male,White,2,No,No,Not Applicable,English,0,0,0,14
121,5th Grade,Female,White,3.33,Yes,No,Not Applicable,Spanish,0,0,0,55
122,4th Grade,,White,2.33,No,Yes,Intellectual Disability,Other,0,0,0,36
123,11th Grade,Male,Asian,2.33,Yes,No,Not Applicable,English,0,0,0,3
124,7th Grade,Male,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,6
125,4th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,12
126,1st Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,8
127,3rd Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,4
128,9th Grade,Female,Black,3,No,No,Not Applicable,English,0,0,0,2
129,4th Grade,Female,Hispanic,3.67,No,No,Not Applicable,English,0,0,0,9
130,12th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,6
131,6th Grade,Female,Black,3,No,No,Not Applicable,English,1,1,2,2
132,2nd Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,8
133,2nd Grade,Female,Black,3,Yes,No,Not Applicable,English,0,0,0,3
134,2nd Grade,Male,Black,2.67,Yes,Yes,Specific Learning Disability,English,0,0,0,27
135,7th Grade,Female,White,2.67,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,8
136,2nd Grade,Female,Black,1.67,No,No,Not Applicable,English,0,0,0,14
137,Kindergarten,Female,White,3,No,No,Not Applicable,English,0,0,0,5
138,9th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,4
139,6th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,7
140,1st Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,8
141,4th Grade,Male,White,2.67,No,Yes,Other,English,0,0,0,15
142,8th Grade,Female,White,3,Yes,No,Not Applicable,Other,1,1,1,8
143,2nd Grade,Male,Black,2.67,Yes,No,Not Applicable,English,0,0,0,7
144,1st Grade,Male,White,3,No,No,Not Applicable,Other,0,0,0,20
145,3rd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,2
146,3rd Grade,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,6
147,Kindergarten,Female,Black,2.33,Yes,No,Not Applicable,English,0,0,0,1
148,12th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,4
149,2nd Grade,Male,White,1.67,Yes,No,Not Applicable,Spanish,0,0,0,13
150,6th Grade,Male,Black,2.33,No,No,Not Applicable,English,6,4,6,9
151,Kindergarten,Female,Black,2.33,Yes,Yes,Other,English,0,0,0,36
152,7th Grade,Male,White,3,No,No,Not Applicable,Other,1,1,1,18
153,4th Grade,Female,Black,3,Yes,No,Not Applicable,English,0,0,0,6
154,6th Grade,Female,Asian,3,No,No,Not Applicable,English,0,0,0,11
155,4th Grade,Female,Native,2.67,Yes,Yes,Specific Learning Disability,English,4,3,3,46
156,3rd Grade,Male,White,3,No,No,Not Applicable,Other,0,0,0,3
157,Pre-K,Female,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,11
158,1st Grade,Female,White,2.67,No,Yes,Intellectual Disability,English,0,0,0,7
159,5th Grade,Male,Black,3.33,Yes,No,Not Applicable,Spanish,0,0,2,16
160,8th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,4
161,5th Grade,,White,2.67,No,No,Not Applicable,English,0,0,1,10
162,10th Grade,Male,White,3,Yes,Yes,Specific Learning Disability,English,1,1,10,7
163,4th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,3
164,Pre-K,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,5
165,9th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,4
166,8th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,4
167,Pre-K,Male,White,2.33,No,No,Not Applicable,Spanish,,,,3
168,9th Grade,Female,,2.33,No,No,Not Applicable,English,0,0,0,5
169,8th Grade,Male,Asian,3.33,Yes,No,Not Applicable,Other,0,0,0,1
170,6th Grade,Male,Asian,3.33,No,No,Not Applicable,English,0,0,0,13
171,9th Grade,Female,White,3.67,Yes,No,Not Applicable,Spanish,0,0,0,12
172,3rd Grade,Female,White,3.33,No,No,Not Applicable,Spanish,0,0,0,8
173,Pre-K,Female,Hispanic,3.33,No,No,Not Applicable,English,0,0,0,14
174,2nd Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,2
175,3rd Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,5
176,2nd Grade,Female,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,3
177,6th Grade,Female,Hispanic,2,No,Yes,Speech/Language Impairments,English,4,3,1,7
178,10th Grade,Male,White,3,No,Yes,Specific Learning Disability,English,0,0,0,8
179,4th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,10
180,Kindergarten,Male,White,3,Yes,No,Not Applicable,English,0,0,0,39
181,9th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,21
182,9th Grade,Female,Hispanic,2,No,No,Not Applicable,English,5,4,1,9
183,7th Grade,Female,White,3,Yes,No,Not Applicable,Spanish,0,0,0,3
184,12th Grade,Female,White,2.67,Yes,Yes,Specific Learning Disability,English,5,4,2,11
185,2nd Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,7
186,2nd Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,Other,1,1,5,5
187,12th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,8
188,9th Grade,Female,White,3.33,Yes,No,Not Applicable,English,1,7,9,19
189,5th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,3
190,7th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,13
191,6th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,7
192,2nd Grade,Female,Hispanic,3.33,No,No,Not Applicable,Spanish,0,0,0,8
193,7th Grade,Other,White,3.33,Yes,No,Not Applicable,English,1,7,7,12
194,7th Grade,Male,,2.67,No,Yes,Specific Learning Disability,English,0,0,0,3
195,10th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,13
196,12th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,24
197,6th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,8
198,4th Grade,Other,Hispanic,2.67,No,No,Not Applicable,English,0,0,1,9
199,3rd Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,4
200,2nd Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,9
201,12th Grade,Female,,3,Yes,No,Not Applicable,English,,,,26
202,2nd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,2
203,5th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,7
204,2nd Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,7
205,7th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,13
206,12th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,10
207,5th Grade,Male,White,3.33,No,No,Not Applicable,Other,0,0,0,4
208,6th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
209,Kindergarten,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,19
210,4th Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,7
211,10th Grade,Other,White,2.67,Yes,No,Not Applicable,English,0,0,0,18
212,3rd Grade,,Hispanic,3,No,No,Not Applicable,English,1,1,1,7
213,12th Grade,Female,White,2.33,Yes,Yes,Speech/Language Impairments,English,0,0,2,11
214,12th Grade,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,14
215,2nd Grade,Male,Black,2.67,No,Yes,Specific Learning Disability,English,0,0,0,9
216,Pre-K,Female,Asian,2.33,Yes,No,Not Applicable,English,0,0,0,2
217,10th Grade,Male,White,3.33,No,No,Not Applicable,English,0,0,0,8
218,Pre-K,Male,White,3,Yes,No,Not Applicable,English,0,0,0,3
219,6th Grade,Female,White,2,No,No,Not Applicable,English,,,,6
220,7th Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,1,16
221,Kindergarten,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,7
222,6th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,1,4
223,10th Grade,Male,Black,3.33,Yes,No,Not Applicable,English,2,8,10,10
224,Kindergarten,Female,Black,3.33,Yes,No,Not Applicable,English,0,0,0,4
225,9th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,4
226,10th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,24
227,8th Grade,Female,Multi-racial,1.67,Yes,No,Not Applicable,English,0,0,0,11
228,6th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,3
229,Kindergarten,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,18
230,4th Grade,Male,Hispanic,4,Yes,No,Not Applicable,Spanish,0,0,0,4
231,12th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,Spanish,7,5,3,3
232,1st Grade,Male,White,2.33,Yes,Yes,Specific Learning Disability,English,0,0,0,2
233,12th Grade,Female,White,3,No,No,Not Applicable,Spanish,1,1,3,2
234,8th Grade,Male,Native,3,Yes,No,Not Applicable,Spanish,0,0,0,10
235,6th Grade,Male,White,2.67,No,No,Not Applicable,Other,0,0,0,5
236,9th Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,German,3,8,8,19
237,Kindergarten,Female,Asian,3,No,No,Not Applicable,English,0,0,0,3
238,8th Grade,Male,Hispanic,2.33,No,No,Not Applicable,English,1,1,5,6
239,12th Grade,Female,Asian,2.67,No,No,Not Applicable,English,0,0,0,2
240,6th Grade,Male,Black,3,No,Yes,Specific Learning Disability,English,1,1,3,3
241,10th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,7
242,8th Grade,Female,White,3.67,No,No,Not Applicable,Other,0,0,0,3
243,4th Grade,Male,White,2.67,No,No,Not Applicable,Spanish,0,0,0,8
244,Kindergarten,Female,White,2.67,No,No,Not Applicable,Spanish,2,2,1,8
245,Pre-K,Female,White,3,No,No,Not Applicable,Vietnamese,0,0,0,8
246,2nd Grade,Male,White,2,Yes,No,Not Applicable,English,0,0,0,1
247,11th Grade,Female,Black,3,No,No,Not Applicable,English,0,0,0,13
248,2nd Grade,Female,White,2,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,12
249,8th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,20
250,9th Grade,,White,2.67,No,No,Not Applicable,English,0,0,0,8
251,3rd Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,5
252,2nd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,5
253,1st Grade,Male,Multi-racial,2.67,No,No,Not Applicable,English,0,0,0,5
254,10th Grade,Male,White,3.33,No,Yes,Specific Learning Disability,English,0,0,0,5
255,11th Grade,Female,Hispanic,3,Yes,No,Not Applicable,Spanish,3,3,3,3
256,9th Grade,Female,Black,2.67,No,No,Not Applicable,English,0,0,0,3
257,1st Grade,Male,Black,3,Yes,No,Not Applicable,English,1,1,3,2
258,1st Grade,Female,Native,3,No,No,Not Applicable,Spanish,0,0,0,6
259,9th Grade,Female,White,3,No,Yes,Specific Learning Disability,English,0,0,0,22
260,12th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,19
261,Pre-K,Female,Hispanic,3,No,Yes,Emotional Disturbance,English,0,0,0,16
262,Kindergarten,Male,White,2.67,No,No,Not Applicable,English,0,0,1,6
263,Kindergarten,,White,3,Yes,No,Not Applicable,English,0,0,0,13
264,8th Grade,Male,Multi-racial,2.67,Yes,No,Not Applicable,Other,0,0,0,5
265,1st Grade,Female,Hispanic,3,No,Yes,Specific Learning Disability,English,0,0,0,5
266,11th Grade,Male,Black,2.67,No,No,Not Applicable,Spanish,0,0,0,7
267,3rd Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,6
268,9th Grade,Female,White,3,Yes,Yes,Specific Learning Disability,English,0,0,0,10
269,11th Grade,Male,Hispanic,3,Yes,Yes,Specific Learning Disability,English,,,,7
270,7th Grade,Female,White,2.67,No,No,Not Applicable,English,1,2,1,2
271,1st Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,Spanish,0,0,0,8
272,7th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,3
273,2nd Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,5
274,8th Grade,Female,Multi-racial,2.67,No,No,Not Applicable,English,0,0,0,8
275,4th Grade,Male,Black,2.67,Yes,Yes,Speech/Language Impairments,English,0,0,0,5
276,2nd Grade,Male,White,2.33,Yes,No,Not Applicable,English,,,,4
277,9th Grade,Male,White,3,No,No,Not Applicable,Spanish,0,0,0,3
278,4th Grade,Male,White,2.33,No,No,Not Applicable,Vietnamese,0,0,0,7
279,3rd Grade,Female,White,3.33,Yes,Yes,Speech/Language Impairments,English,0,0,0,4
280,1st Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,7
281,11th Grade,Female,White,2.33,No,No,Not Applicable,Other,0,0,1,3
282,1st Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,9
283,6th Grade,Female,Black,2,No,No,Not Applicable,Spanish,0,0,0,9
284,8th Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,6
285,11th Grade,Female,Hispanic,2.67,No,No,Not Applicable,Spanish,0,0,0,8
286,3rd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,13
287,7th Grade,,Asian,2.67,Yes,No,Not Applicable,English,0,0,0,10
288,10th Grade,Female,White,2,Yes,No,Not Applicable,English,,,,7
289,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,6
290,7th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,6
291,9th Grade,Male,Asian,3,No,No,Not Applicable,English,0,0,0,16
292,1st Grade,Female,White,2.33,No,No,Not Applicable,Other,2,2,1,7
293,7th Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,27
294,11th Grade,Female,Hispanic,2,No,No,Not Applicable,English,0,0,0,4
295,10th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,3
296,6th Grade,,White,2.67,No,No,Not Applicable,Spanish,0,0,0,14
297,Kindergarten,Female,Hispanic,2.67,Yes,No,Not Applicable,Spanish,0,0,0,2
298,Pre-K,Male,White,2.33,No,No,Not Applicable,English,,,,7
299,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,6
300,8th Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,5
301,4th Grade,Male,White,2.67,Yes,No,Not Applicable,Other,0,0,0,3
302,6th Grade,Male,Hispanic,3,Yes,No,Not Applicable,English,0,0,0,7
303,1st Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,10
304,9th Grade,Male,White,2.33,Yes,No,Not Applicable,Russian,0,0,0,3
305,3rd Grade,Female,White,2.67,No,Yes,Other,English,0,0,0,2
306,3rd Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,3
307,Pre-K,Male,White,2,Yes,No,Not Applicable,English,,,,15
308,4th Grade,Male,Black,3.67,No,No,Not Applicable,English,0,0,0,5
309,8th Grade,Female,White,2.67,Yes,No,Not Applicable,Other,0,0,0,3
310,11th Grade,Male,Black,3.67,No,No,Not Applicable,English,1,1,1,11
311,9th Grade,Female,White,3,Yes,Yes,Autism,Spanish,0,0,0,8
312,4th Grade,Female,Black,3.67,Yes,No,Not Applicable,Spanish,0,0,0,2
313,Pre-K,Other,White,2.67,No,No,Not Applicable,Spanish,0,0,0,5
314,9th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,4
315,8th Grade,Male,Black,3,No,Yes,Specific Learning Disability,English,1,1,1,14
316,Kindergarten,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,15
317,4th Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,5
318,8th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,3
319,9th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,10
320,1st Grade,Female,White,3,Yes,No,Not Applicable,Spanish,0,0,0,3
321,9th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,3
322,7th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
323,1st Grade,Male,Black,2.67,Yes,Yes,Intellectual Disability,English,0,0,0,7
324,10th Grade,Male,White,2.67,No,Yes,Speech/Language Impairments,English,0,0,0,15
325,Kindergarten,Female,White,3,No,No,Not Applicable,Spanish,0,0,0,15
326,5th Grade,Male,White,2,Yes,No,Not Applicable,English,4,3,10,12
327,2nd Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,32
328,1st Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,2
329,8th Grade,Male,Black,3,No,No,Not Applicable,English,0,0,0,10
330,1st Grade,Female,Multi-racial,2.67,No,No,Not Applicable,English,0,0,0,7
331,2nd Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,14
332,12th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,17
333,8th Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,3
334,6th Grade,Female,Black,3,No,No,Not Applicable,English,,,,2
335,11th Grade,Male,White,3.33,Yes,No,Not Applicable,Other,0,0,0,10
336,5th Grade,Male,Hispanic,3.67,Yes,Yes,Other,English,0,0,0,5
337,9th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,4
338,6th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,14
339,11th Grade,Female,White,2.33,No,Yes,Specific Learning Disability,English,0,0,0,20
340,3rd Grade,Male,White,3,No,No,Not Applicable,Other,4,3,1,25
341,10th Grade,Female,Black,2.67,No,No,Not Applicable,English,0,0,2,17
342,5th Grade,Male,White,2.67,No,No,Not Applicable,English,,,,2
343,2nd Grade,Female,White,3,Yes,Yes,Specific Learning Disability,English,0,0,0,2
344,8th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,2
